|      17820 <= x <       17880;  y_198        =   62.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|      17910 <= x <       17970;  y_199        =   79.0000 +    -0.8500x     0.0000x^2     0.8500x_3 ; Bezier Curve 
|      18000 <= x <       18060;  y_200        =   62.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|      18090 <= x <       18150;  y_201        =   79.0000 +    -1.3917x     0.9833x^2     0.4583x_3 ; Bezier Curve 
|      18180 <= x <       18240;  y_202        =   62.0000 +     1.3917x    -0.9833x^2    -0.4583x_3 ; Bezier Curve 
|      18270 <= x <       18330;  y_203        =   79.0000 +    -1.3917x     0.9833x^2     0.4583x_3 ; Bezier Curve 
|      18360 <= x <       18420;  y_204        =   62.0000 +    -6.5250x    14.7500x^2    -7.4750x_3 ; Bezier Curve 
|      18450 <= x <       18510;  y_205        =   25.0000 +   -26.1583x    52.1167x^2   -23.3083x_3 ; Bezier Curve 
|      18540 <= x <       18600;  y_206        =   61.0000 +     0.8500x    -0.0000x^2    -0.8500x_3 ; Bezier Curve 
|      18630 <= x <       18690;  y_207        =   79.0000 +    -0.9000x     0.0000x^2     0.9000x_3 ; Bezier Curve 
|      18720 <= x <       18780;  y_208        =   62.0000 +     0.9000x    -0.0000x^2    -0.9000x_3 ; Bezier Curve 
|      18810 <= x <       18870;  y_209        =   76.0000 +    -1.2750x     2.9500x^2    -1.5250x_3 ; Bezier Curve 
|      18900 <= x <       18960;  y_210        =   81.0000 +     3.0333x    -7.8667x^2     4.4333x_3 ; Bezier Curve 
|      18990 <= x <       19050;  y_211        =   64.0000 +    -7.1167x    15.7333x^2    -7.8167x_3 ; Bezier Curve 
|      19080 <= x <       19140;  y_212        =   62.0000 +     3.2583x    -4.9167x^2     1.4083x_3 ; Bezier Curve 
|      19170 <= x <       19230;  y_213        =   79.0000 +     1.1167x    -3.9333x^2     2.6167x_3 ; Bezier Curve 
|      19260 <= x <       19320;  y_214        =   62.0000 +     1.3417x    -0.9833x^2    -0.4083x_3 ; Bezier Curve 
|      19350 <= x <       19410;  y_215        =   79.0000 +    -0.8500x     0.0000x^2     0.8500x_3 ; Bezier Curve 
|      19440 <= x <       19500;  y_216        =   62.0000 +     1.8333x    -1.9667x^2     0.0333x_3 ; Bezier Curve 
|      19530 <= x <       19590;  y_217        =   76.0000 +    -2.6667x     3.9333x^2    -1.0667x_3 ; Bezier Curve 
|      19620 <= x <       19680;  y_218        =   62.0000 +     1.3417x    -0.9833x^2    -0.4083x_3 ; Bezier Curve 
|      19710 <= x <       19770;  y_219        =   79.0000 +     0.6750x    -2.9500x^2     2.1250x_3 ; Bezier Curve 
|      19800 <= x <       19860;  y_220        =   60.0000 +     0.0167x     1.9667x^2    -1.8833x_3 ; Bezier Curve 
|      19890 <= x <       19950;  y_221        =   65.0000 +    -0.8250x     2.9500x^2    -1.9750x_3 ; Bezier Curve 
|      19980 <= x <       20040;  y_222        =   78.0000 +     0.9750x    -2.9500x^2     1.8250x_3 ; Bezier Curve 
|      20070 <= x <       20130;  y_223        =   68.0000 +    -0.0917x     0.9833x^2    -0.8417x_3 ; Bezier Curve 
|      20160 <= x <       20220;  y_224        =   78.0000 +    -0.4500x     0.0000x^2     0.4500x_3 ; Bezier Curve 
|      20250 <= x <       20310;  y_225        =   68.0000 +    -5.2583x    10.8167x^2    -5.0083x_3 ; Bezier Curve 
|      20340 <= x <       20400;  y_226        =   79.0000 +     0.9833x    -1.9667x^2     0.8833x_3 ; Bezier Curve 
|      20430 <= x <       20490;  y_227        =   80.0000 +     0.3917x    -0.9833x^2     0.5417x_3 ; Bezier Curve 
